case_id,case_name,source_hash,rtl_hash,testbench_hash,stimulus,expected,actual,result,evidence
13,stale_lq_issue,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,c0165ccea43ccc41d1d2cc5514d8af17764b700b84a84af751c4b331be55fcbe,926e38c580d1847b3eb5aa3a4e9d14e4f9b605d35cbae705f3b238de56cd400f,actual_load_issue_with_forced_generation_mismatch,Stale LQ owner generation cannot issue,generation_mismatch_rejected loads=0,PASS,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_13_stale_lq_issue_path_b.log
28,load_request_backpressure,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,c0165ccea43ccc41d1d2cc5514d8af17764b700b84a84af751c4b331be55fcbe,926e38c580d1847b3eb5aa3a4e9d14e4f9b605d35cbae705f3b238de56cd400f,actual_load_request_with_axis_tready_low,Actual full request channel blocks load issue until drained,load_stalled_then_drained loads=1,PASS,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_28_load_request_backpressure_path_b.log
29,committed_store_backpressure,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,c0165ccea43ccc41d1d2cc5514d8af17764b700b84a84af751c4b331be55fcbe,926e38c580d1847b3eb5aa3a4e9d14e4f9b605d35cbae705f3b238de56cd400f,committed_store_request_with_axis_tready_low,Actual full request channel blocks committed store request and reclaim,committed_store_held_then_reclaimed stores=1,PASS,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_29_committed_store_backpressure_path_b.log
36,exception_flush_queues_late,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,c0165ccea43ccc41d1d2cc5514d8af17764b700b84a84af751c4b331be55fcbe,926e38c580d1847b3eb5aa3a4e9d14e4f9b605d35cbae705f3b238de56cd400f,seeded_lq_sq_pending_then_actual_exception_and_late_response,Exception flush clears LQ SQ and rejects the late response,exception_flush_cleared_queues_late_response_rejected,PASS,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_36_exception_flush_queues_late_path_b.log
38,reset_empty,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,c0165ccea43ccc41d1d2cc5514d8af17764b700b84a84af751c4b331be55fcbe,926e38c580d1847b3eb5aa3a4e9d14e4f9b605d35cbae705f3b238de56cd400f,power_on_staged_reset_from_empty,Staged reset completes from empty queues,staged_reset_empty_completed,PASS,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_38_reset_empty_path_b.log
39,reset_partial,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,c0165ccea43ccc41d1d2cc5514d8af17764b700b84a84af751c4b331be55fcbe,926e38c580d1847b3eb5aa3a4e9d14e4f9b605d35cbae705f3b238de56cd400f,seeded_partial_lq_sq_then_runtime_reset,Staged reset completes from partial occupancy,staged_reset_partial_cleared lq=3 sq=2,PASS,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_39_reset_partial_path_b.log
40,reset_full,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,c0165ccea43ccc41d1d2cc5514d8af17764b700b84a84af751c4b331be55fcbe,926e38c580d1847b3eb5aa3a4e9d14e4f9b605d35cbae705f3b238de56cd400f,seeded_full_sq_nonempty_lq_then_runtime_reset,Staged reset completes from full SQ and nonempty LQ,staged_reset_full_cleared lq=2 sq=8,PASS,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_40_reset_full_path_b.log
47,rob_reuse_stale_issue,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,c0165ccea43ccc41d1d2cc5514d8af17764b700b84a84af751c4b331be55fcbe,926e38c580d1847b3eb5aa3a4e9d14e4f9b605d35cbae705f3b238de56cd400f,actual_load_issue_with_forced_rob_allocation_mismatch,Reused ROB allocation cannot issue stale LQ owner,rob_allocation_mismatch_rejected loads=0,PASS,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_47_rob_reuse_stale_issue_path_b.log
48,simultaneous_commit_lsu,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,c0165ccea43ccc41d1d2cc5514d8af17764b700b84a84af751c4b331be55fcbe,926e38c580d1847b3eb5aa3a4e9d14e4f9b605d35cbae705f3b238de56cd400f,committed_store_stall_followed_by_younger_load,Committed older store request ordering prevents simultaneous younger load issue,store_accept_preceded_younger_load stores=2 loads=1,PASS,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_48_simultaneous_commit_lsu_path_b.log
49,reset_pending_lifecycle,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,c0165ccea43ccc41d1d2cc5514d8af17764b700b84a84af751c4b331be55fcbe,926e38c580d1847b3eb5aa3a4e9d14e4f9b605d35cbae705f3b238de56cd400f,actual_pending_load_response_then_runtime_reset_and_stale_response,Reset clears pending response queue counts and owner state,reset_cleared_pending_and_restarted responses=2,PASS,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_49_reset_pending_lifecycle_path_b.log
