timestamp,elapsed_sec,workspace_bytes,rss_bytes,mem_available_bytes,stage
2026-09-16T15:03:46+08:00,0,4096,7335936,60810153984,STARTUP
2026-09-16T15:04:16+08:00,30,30654464,2497626112,58276200448,SOURCE_ANALYSIS
2026-09-16T15:04:46+08:00,60,30654464,3499732992,57112698880,SOURCE_ANALYSIS
2026-09-16T15:05:16+08:00,90,30654464,3537465344,57215598592,SOURCE_ANALYSIS
2026-09-16T15:05:46+08:00,120,30654464,3553849344,57211441152,SOURCE_ANALYSIS
2026-09-16T15:06:16+08:00,150,30654464,3553849344,57461297152,SOURCE_ANALYSIS
2026-09-16T15:06:46+08:00,180,30654464,3553849344,57446227968,SOURCE_ANALYSIS
2026-09-16T15:07:16+08:00,210,30654464,3553849344,57446526976,SOURCE_ANALYSIS
2026-09-16T15:07:46+08:00,240,30654464,3553849344,57425674240,SOURCE_ANALYSIS
2026-09-16T15:08:16+08:00,270,30875648,7121240064,53816786944,SOURCE_ANALYSIS
2026-09-16T15:08:46+08:00,300,30875648,7121240064,53871300608,SOURCE_ANALYSIS
2026-09-16T15:09:16+08:00,330,47558656,7136813056,53853962240,SOURCE_ANALYSIS
2026-09-16T15:09:46+08:00,360,50995200,648822784,60298235904,SOURCE_ANALYSIS
2026-09-16T15:10:16+08:00,390,56741888,931606528,59949072384,TRANSFORMS
2026-09-16T15:10:46+08:00,420,69120000,1016356864,59881127936,TRANSFORMS
2026-09-16T15:11:16+08:00,450,198221824,1729941504,59164233728,SCHEDULING
2026-09-16T15:11:46+08:00,480,403968000,2081591296,58606354432,RTL_MODEL
2026-09-16T15:12:16+08:00,510,591990784,2556825600,57705574400,RTL_MODEL
