program,status,evidence,trace
pf3_straight_commit,PASS,logs/pf3_straight_commit.log,traces/pf3_straight_commit.jsonl
pf3_jal_mask,PASS,logs/pf3_jal_mask.log,traces/pf3_jal_mask.jsonl
pf3_mixed_control,PASS,logs/pf3_mixed_control.log,traces/pf3_mixed_control.jsonl
pf3_rvc_packets,PASS,logs/pf3_rvc_packets.log,traces/pf3_rvc_packets.jsonl
pf3_branch_squash,PASS,logs/pf3_branch_squash.log,traces/pf3_branch_squash.jsonl
pf3_reset_midstream,PASS,logs/pf3_reset_midstream.log,traces/pf3_reset_midstream.jsonl
pf3_generation_reuse,PASS,logs/pf3_generation_reuse.log,traces/pf3_generation_reuse.jsonl
pf3_exception_flush,PASS,logs/pf3_exception_flush.log,traces/pf3_exception_flush.jsonl
pf3_conditional_shadow,PASS,logs/pf3_conditional_shadow.log,traces/pf3_conditional_shadow.jsonl
pf3_ftq_wrap,PASS,logs/pf3_ftq_wrap.log,traces/pf3_ftq_wrap.jsonl
pf3_rv64m,PASS,logs/pf3_rv64m.log,traces/pf3_rv64m.jsonl
pf3_long_stream,PASS,logs/pf3_long_stream.log,traces/pf3_long_stream.jsonl
