program,kind,status,ref_events,dut_events,compared_events,first_mismatch_index
branch_not_taken,arch,PASS,10,10,10,
branch_not_taken,event,PASS,10,10,10,
branch_not_taken,cycle,PASS,10,10,10,
branch_taken,arch,PASS,9,9,9,
branch_taken,event,PASS,9,9,9,
branch_taken,cycle,PASS,9,9,9,
independent_alu,arch,PASS,8,8,8,
independent_alu,event,PASS,8,8,8,
independent_alu,cycle,PASS,8,8,8,
nested_branch,arch,PASS,10,10,10,
nested_branch,event,PASS,10,10,10,
nested_branch,cycle,PASS,10,10,10,
raw_chain,arch,PASS,8,8,8,
raw_chain,event,PASS,8,8,8,
raw_chain,cycle,PASS,8,8,8,
load_store,arch,PASS,7,7,7,
load_store,event,PASS,7,7,7,
load_store,cycle,PASS,7,7,7,
tohost,arch,PASS,3,3,3,
tohost,event,PASS,3,3,3,
tohost,cycle,PASS,3,3,3,
