candidate,suite,result,detail
A1,M2B_DIRECTED_EXECUTE,PASS,30/30
A1,W4_BYPASS_TARGETED,PASS,14/14
A1,M3C_DIRECTED,PASS,1458 checks failures=0
A1,M3C_RANDOM,PASS,256 seeds x 2048 cycles
A1,M3C_PROGRAMS,PASS,15/15
C1,M2A_DIRECTED,PASS,51/51
C1,M2A_RANDOM,PASS,256 seeds 131072 vectors 0 mismatches
B1,M2B_DIRECTED_EXECUTE,PASS,30/30
A5,M3B_DIRECTED,PASS,167 checks failures=0
A5,M3B_RANDOM,PASS,128 seeds x 1024 cycles
A5,M3B_PROGRAMS,PASS,10/10 latency preserved
A5,M3C_DIRECTED,PASS,1458 checks failures=0
A5,M3C_RANDOM,PASS,256 seeds x 2048 cycles
A5,M3C_PROGRAMS,PASS,15/15
A5,W3_CANONICAL,PASS,15/15 suites 400 passed 0 failed
A5,W4_CANONICAL,PASS,13/13
A5,PF6_INTEGRATED,PASS,12/12
A5,PF6_MANDATORY_FAULTS,PASS,2/2
A5,L1_REPRESENTATIVE_8_8,PASS,3146179 checks errors=0
