path,status_before,status_after,unchanged
".gitignore"," M"," M",true
"reports/equivalence/provisional_gate3/hls_csim_trace.log"," M"," M",true
"reports/gate3_9/regression_after_artifacts/logs/generate_merged.log"," M"," M",true
"reports/gate3_9/regression_after_artifacts/logs/merged_compile.log"," M"," M",true
"reports/gate4_0/w4/regression/w4e/product_full/logs/directed_tests.log"," M"," M",true
"reports/gate4_0/w4/regression/w4e/product_full/logs/generate_merged.log"," M"," M",true
"reports/gate5_2_rvc/r1/logs/rvc_decode_cross_tests.log"," M"," M",true
"reports/gate5_2_rvc/r2/logs/canonical_csynth/core_csynth_summary.csv"," M"," M",true
"reports/gate5_2_rvc/r2/logs/canonical_csynth/module_csynth_summary.csv"," M"," M",true
"reports/gate5_2_rvc/r2/logs/gate5_1_preservation/xsim.log"," M"," M",true
"reports/gate5_2_rvc/r2/logs/r2_csim.log"," M"," M",true
"reports/gate5_2_rvc/r2/logs/r2_native.log"," M"," M",true
"reports/gate5_2_rvc/r2/logs/rvc_fetch_random_tests.log"," M"," M",true
"reports/gate5_2_rvc/r2/logs/rvc_fetch_tests.log"," M"," M",true
"reports/gate5_2_rvc/r2/logs/xsim.log"," M"," M",true
"reports/gate5_2_rvc/r2/r2_full_core_rtl_matrix.csv"," M"," M",true
"reports/gate5_2_rvc/r2/r2_rtl_traces/rvc_addi.jsonl"," M"," M",true
"reports/gate5_2_rvc/r2/r2_rtl_traces/rvc_branch.jsonl"," M"," M",true
"reports/gate5_2_rvc/r2/r2_rtl_traces/rvc_cross_boundary.jsonl"," M"," M",true
"reports/gate5_2_rvc/r2/r2_rtl_traces/rvc_jump.jsonl"," M"," M",true
"reports/gate5_2_rvc/r2/r2_rtl_traces/rvc_load_store.jsonl"," M"," M",true
"reports/gate5_2_rvc/r2/r2_rtl_traces/rvc_mixed_16_32.jsonl"," M"," M",true
"reports/gate5_2_rvc/r2/r2_rtl_traces/rvc_redirect_halfword.jsonl"," M"," M",true
"reports/gate5_2_rvc/r2/r2_rtl_traces/rvc_rv64m_mix.jsonl"," M"," M",true
"reports/gate5_2_rvc/r2/r2_rtl_traces/rvc_tohost.jsonl"," M"," M",true
"reports/gate5_2_rvc/r2/r2_rtl_traces/rvc_word_ops.jsonl"," M"," M",true
"reports/gate5_2_rvc/r2/rtl_test_matrix.csv"," M"," M",true
"reports/gate5_3_fetch_buffer/b1/logs/csynth/d16_auto.log"," M"," M",true
"reports/gate5_3_fetch_buffer/b1/logs/csynth/d2_auto.log"," M"," M",true
"reports/gate5_3_fetch_buffer/b1/logs/csynth/d4_auto.log"," M"," M",true
"reports/gate5_3_fetch_buffer/b1/logs/csynth/d8_auto.log"," M"," M",true
"reports/gate5_3_fetch_buffer/b1/logs/csynth/d8_bram.log"," M"," M",true
"reports/gate5_3_fetch_buffer/b1/logs/csynth/d8_lutram.log"," M"," M",true
"reports/gate5_3_fetch_buffer/b1/logs/csynth/d8_payload_reset.log"," M"," M",true
"scripts/gate4_0/run_w3_regressions.sh"," M"," M",true
"scripts/gate4_1/run_m3c_tests.sh"," M"," M",true
"src/boom_all.cpp"," M"," M",true
"vitis_hls.log"," M"," M",true
